ratings,title,text,author,date_stayed,offering_id,num_helpful_votes,date,id,via_mobile
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 5.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}","“Truly is ""Jewel of the Upper Wets Side""”","Stayed in a king suite for 11 nights and yes it cots us a bit but we were happy with the standard of room, the location and the friendliness of the staff. Our room was on the 20th floor overlooking Broadway and the madhouse of the Fairway Market. Room was quite with no noise evident from the hallway or adjoining rooms. It was great to be able to open windows when we craved fresh rather than heated air. The beds, including the fold out sofa bed, were comfortable and the rooms were cleaned well. Wi-fi access worked like a dream with only one connectivity issue on our first night and this was promptly responded to with a call from the service provider to ensure that all was well. The location close to the 72nd Street subway station is great and the complimentary umbrellas on the drizzly days were greatly appreciated. It is fabulous to have the kitchen with cooking facilities and the access to a whole range of fresh foods directly across the road at Fairway.
This is the second time that members of the party have stayed at the Beacon and it will certainly be our hotel of choice for future visits.","{'username': 'Papa_Panda', 'num_cities': 22, 'num_helpful_votes': 12, 'num_reviews': 29, 'num_type_reviews': 24, 'id': '8C0B42FF3C0FA366A21CFD785302A032', 'location': 'Gold Coast'}",December 2012,93338,0,2012-12-17,147643103,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 5.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“My home away from home!”,"On every visit to NYC, the Hotel Beacon is the place we love to stay. So conveniently located to Central Park, Lincoln Center and great local restaurants. The rooms are lovely - beds so comfortable, a great little kitchen and new wizz bang coffee maker. The staff are so accommodating and just love walking across the street to the Fairway supermarket with every imaginable goodies to eat (if you choose not to go out for every meal!)","{'username': 'Maureen V', 'num_reviews': 2, 'num_cities': 2, 'id': 'E3C85CA9DBBBC77E0DB534ABE93E4713', 'location': 'Sydney, New South Wales, Australia'}",December 2012,93338,0,2012-12-17,147639004,False
"{'service': 4.0, 'cleanliness': 5.0, 'overall': 4.0, 'value': 4.0, 'location': 5.0, 'sleep_quality': 4.0, 'rooms': 4.0}",“Great Stay”,"This is a great property in Midtown. We two different rooms different rooms during our stay. The first room was in the North tower, which was quite inconvenient. You have to go through the conference area to get to the north elevators. 
The second room was the Andaz Suite. It was nicely appointed room, but the best part about it was the bathroom. From the foot soaking bowl to the bath products, everything about the bathroom was awesome!
Lemon poppy-seed pancakes are must haves at the restaurant. One of the best pancakes ever.","{'username': 'vuguru', 'num_cities': 12, 'num_helpful_votes': 17, 'num_reviews': 14, 'num_type_reviews': 14, 'id': 'FB1032DECE1162CB3556D05F278AAFFD', 'location': 'Houston'}",December 2012,1762573,0,2012-12-18,147697954,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 4.0, 'value': 5.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“Modern Convenience”,"The Andaz is a nice hotel in a central location of Manhattan. The Hyatt has come up with a modern hotel that is both comfortable and convenient. When you arrive you are greeted by friendly ""Hosts"" and they walk you to the check-in desk while offering you a beverage. 
We had a one bedroom suite that accommodated four people reasonably well. Plenty of closet space, well lit with floor to ceiling windows, and actually quiet!
The bathroom was large with a very nice walk-in shower and a built-in bench with unique low spout to wash your feet.
The kitchenette was a nice touch with a stocked fridge offering complimentary non-alcoholic beverages and snacks, dishes and utensils, a sink, dishwasher, and a microwave. 
They have daily Happy Hour(s) where you can get a complimentary decent glass of wine in the modest Lobby Lounge and bring it to your room. The Lobby Lounge has some seating and one table with 8 or so chairs where you can buy food from the adjacent restaurant. One suggestion is to offer selections of cheese and crackers platters to go with that wine. We ordered one that had to be custom made, but it worked well. 
We didn't eat in the hotel restaurants. The restaurant off the lobby was very pricey for breakfast (+$20 per entree). When you can get a decent breakfast within a block or two of the hotel for under $10, what can I say?
As a hotel designer and someone who is very picky about hotels, I will definitely stay there again and I highly recommend it.","{'username': 'Hotel-Designer', 'num_cities': 5, 'num_helpful_votes': 26, 'num_reviews': 5, 'num_type_reviews': 5, 'id': 'EC3E275EE7590694889C8C7EE0D13961', 'location': 'Laguna Beach, CA'}",August 2012,1762573,0,2012-12-17,147625723,False
"{'service': 4.0, 'cleanliness': 5.0, 'overall': 4.0, 'value': 3.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“Its the best of the Andaz Brand in the US....”,"I have stayed at each of the US Andaz properties, and this one is the best of them all. MUCH better than the West Hollywood property where Brand standards are slowly fading. This is the shining star here in the States.
My room (suite) on the 12th floor was fantastic as usual. Perfectly maintained, very comfortable, great bathrooms (best in NYC???). The bathroom is huge, with large shower 'room' and multiple shower heads. Double lavatories flank one wall. Huge....
THe bed is always perfect. Televisions in both rooms were perfect for my limited time spend in the suite. Nice desk for work area and in room dining. 
Every room has a fridge with complimentary soft drinks, snacks, water, sparkling water, milk and juices. Nice touch. Suite has full size refrigerator with icemaker, and also features a microwave, sink and dishwasher drawer....all nicely concealed behind beautiful cabinetry. Really great for a longer stay...
I do have 2 complaints. First, the elevators. The waits were sometimes ridiculous. 3 elevators serve the main tower with a rather limited number of rooms. THis is a newer hotel, but there is no service elevator. I was continually surprised after waiting for an elevator at how many stops we made for housekeeping to enter with carts, room service carts and trays, etc. How could Hyatt skip a service elevator on this new property? It really stinks at times.....its bad.
Lastly, i have traveled with world and certainly know NYC pricing. Breakfast at the Andaz ranks above almost anything i have ever paid. Apparently, i had a $190.00 breakfast for two the first morning, and $175.00 the second. Eggs for each, coffee, berries. Wow. Of course, i really don't know...as there is no bill. They just deliver it, and leave. Prices are listed in the in-suite menu, but no itemized billing is given. I am 'gifted' with a $75.00 credit for my breakfast as a Diamond member, and i assumed that had not been applied when my bill reflected a 'non itemized' charge for $110 plus for the first night, and slightly less for the second. I was wrong, it had been applied (no way for me to see this). WOW. It certainly isn't worth it.
I know i sound like one of those guys who complains about pricing, but clearly doesn't know what things cost. Wrong. This one really surprised me, and i have traveled the world for more than 20 years staying in some of the finest hotels in the world. Andaz is great, but it doesn't rank with many that i have had the pleasure of staying with.
I just had breakfast this morning for 2 at the Four Seasons NYC. It was half the cost....almost. :)
Stay away from room service in my opinion....","{'username': 'JamesE339', 'num_cities': 34, 'num_helpful_votes': 65, 'num_reviews': 104, 'num_type_reviews': 49, 'id': 'BA524A238B1171206691A6CC3F28F266', 'location': 'Saint Louis, Missouri'}",December 2012,1762573,0,2012-12-17,147612823,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 4.0, 'location': 5.0, 'sleep_quality': 4.0, 'rooms': 5.0}","“One of NYC's Best Hotels, Hands Down”","Excellent staff (they remembered our names from the moment our family walked in). Our original suite was overbooked, so we ended up in a much nicer suite (no complaints here). Extremely convenient location to Fifth Avenue shopping, restaurants, and subway system. Use the concierge, they worked magic throughout our entire stay. Regardless of whether we needed tickets, or merely a ride, the staff would go out of their way to make sure we were happy. Honestly will have trouble staying at any other hotel in the NYC area. Room service was superb. One of our family members forgot their toothbrush. We called downstairs and within 3 minutes, we had four. 
For those who stay at this hotel, there's always a chance at a celebrity sighting. Our hotel neighbor happened to be Jamie Foxx, who was staying during his Django Unchained promotional tour.","{'username': 'Breakonacloud-com', 'num_reviews': 1, 'id': 'B766E25C73F354AC433EF628F3ACD23B', 'location': 'Nashville, Tennessee'}",December 2012,1776857,0,2012-12-19,147762928,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 4.0, 'rooms': 5.0, 'location': 4.0}",“Apartment living for less than most 5 stars”,"I stayed at the Setai for 3 nights last week, as my company reserved a block for us. Although the hotel is not near Lincoln Center, which is where we shuttled to every day, I found the hotel to be a true gem. I have stayed at countless hotels in NYC and this is by far the best value. Loved the spacious rooms, modern furnishings and all the free offerings (mini bar, cookies, Internet, pressing). Regina/Chris in sales stayed all night to help coordinate my guests, and Brian/Matt/Louis from the front desk could not have been nicer. The door men were amazing- they assisted our last-minute transport needs with grace, special thank you to Joe, Mike and the security team. My boss is very hard to impress and he has already mentioned he would like to book again next year.","{'username': 'French1976', 'num_cities': 2, 'num_reviews': 3, 'num_type_reviews': 3, 'id': '0BCA612BCCBA8C065FD9A9C09D27CA53', 'location': ''}",December 2012,1776857,0,2012-12-18,147681943,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 4.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“Lovely stay at The Chatwal”,"My husband and I stayed at The Chatwal for 9 nights in April 2012. We booked our rooms via booking.com. We arrived at the hotel very late at night but our check-in was very easy and just like many other reviewers we got upgraded to a suite.
We fell in love with the decor. It is just like the photos in the hotel website. The lobby smelled lovely with their signature scent. It was even lovelier when mixed with the fresh coffee smell in the morning. 
Beds were extremely comfortable. Books in the room were a nice touch. We had two bathrooms after our upgrade which we appreciated a lot. The bathrooms were really very chic and the TOTO toilets were something! 
The housekeeping service was really good with turn-down service.
We had drinks at the Lambs Club bar nearly every night with our friends and were very happy with everything. We had dinner at the Lambs Club restaurant downstairs and were very pleased. We did not have breakfast at the hotel as there are a lot of alternatives close by.
My husband had a couple of pre-arranged deliveries and the concierge were very helpful with them. We thank Mr Mullins for all his help. We never saw our butler during our 9 night stay, therefore I cannot comment on the butler service, but we did not really need it anyway. 
Overall a great 5-star boutique hotel experience in a very central NYC location.","{'username': 'ilkim', 'num_cities': 6, 'num_helpful_votes': 6, 'num_reviews': 8, 'num_type_reviews': 7, 'id': 'BB4AB5B542FDB3E543FE3AEE01F159B3', 'location': 'Istanbul, Turkey'}",April 2012,1641016,0,2012-12-20,147769675,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 4.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“Exclusive boutique hôtel”,Wonderful boutique hotel located next to Times Square. Subway is two blocks away to all of Manhattan. Numerous classic eateries within walking distance. Bathrooms are ideal with Japanese heated cleansing toilettes.,"{'username': 'otisokansascity', 'num_cities': 15, 'num_helpful_votes': 16, 'num_reviews': 53, 'num_type_reviews': 5, 'id': '400210E0882D6A1212C0CC91CC54CE5A', 'location': 'Kansas City'}",December 2012,1641016,0,2012-12-19,147722090,False
"{'service': 4.0, 'cleanliness': 5.0, 'overall': 4.0, 'value': 4.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 4.0}",“A Nice Stay for NYC!”,"This hotel is a nice stay for NYC because the rooms are very clean, hotel is very comfortable, and it's in a great location. A few blocks from Herald Square, 34th street shopping, Madison Square Gardens, Penn Station...everything! The staff was very nice and always accommodating. The hotel also has a great view of the Empire State Building in rooms facing 6th Ave. Very cool pic to have if you get lucky!
I was extremely satisfied with the my two night's stay and would stay again.","{'username': 'nikkigfoster', 'num_cities': 13, 'num_helpful_votes': 6, 'num_reviews': 27, 'num_type_reviews': 15, 'id': 'EC6CB11E9DC8761710DDA3CF48DD995F', 'location': 'Atlanta, Georgia'}",December 2012,1456560,0,2012-12-19,147759101,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 5.0, 'location': 4.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“Don't miss this great place!”,"I've stayed at 4 and 5 star hotels all over Manhattan. Over the past year, however, I have returned each time to the Eventi. Wonderful staff, beautiful hotel, incredibly comfortable rooms and for my needs terrific location.","{'username': 'DrTiller', 'num_reviews': 1, 'id': '10BE07B397D5814F9ECCC875B1BA96C9', 'location': 'Miami Beach, Florida'}",December 2012,1456560,0,2012-12-19,147735177,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 4.0, 'location': 5.0, 'sleep_quality': 4.0, 'rooms': 5.0}",“Perfectly placed delightful hotel”,"Stayed at this hotel for four nights in December 2012. It is perfectly located two blocks from Times Square and one block from Fifth Avenue. We found it a perfect base to explore all Manhattan has to offer. Walking to Central Park took approximately 20 minutes, Times Square was less than 5 minutes away and with close Subway stations access to all of Manhattan is a piece of cake.
With regard the hotel itself, we were very happy with out choice. Location aside, the hotel was very clean and well appointed. We had a room on the 11th floor, and after sending the hotel an email prior to our arrival they provided a room with a view of the Chrysler Building, as requested.
The room itself was a decent size, tidy bathroom with powerful shower and Molton Brown products. The hotel has two lifts servicing all floor, and we never had to wait for a lift. Both the concierge and the front desk staff were very helpful and courteous, as were the bell boys. A wonderful little touch was the urn in the reception area. In the morning it was full of coffee, with cups available for you to take out with you. And from the afternoon onwards, hot cider was available. 
Very happy with our choice and won't hesitate to return the next time we visit New York.","{'username': 'tjbeynon', 'num_cities': 9, 'num_helpful_votes': 6, 'num_reviews': 11, 'num_type_reviews': 9, 'id': 'E530271FD1F16DF31858BD6C7BABD559', 'location': 'Bristol, United Kingdom'}",December 2012,93396,0,2012-12-18,147689989,False
"{'service': 4.0, 'cleanliness': 5.0, 'overall': 4.0, 'value': 4.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 4.0}",“Top Hotel for Break in NYC”,"Hotel was very very good. High quality finish throughout, very comfortable bed, lovely breakfast. Great location. Hotel is a few minutes walk from Rockefeller center and 5th avenue. The subway is right on your door. Only slight critique would be the night life tends to close around 11pm in the immediate area. Very minor issue as we were not in New York to get drunk. Breakfast was basic but perfectly acceptable, lovely fresh continental breakfast, decent coffee, fruit juices, yoghurts. You can eat as much as you like and grab a coffee before you head into New York. The door staff were great, they found us a taxi at rush hour in the rain which in NYC isn't the easiest thing to do.
The only problem we had was that our safe was not working when we arrived, (battery was duff) but this was fixed within 20 mins.
Overall, no complaints, would definitely return again.","{'username': 'TurboBailey', 'num_reviews': 1, 'id': 'D7C43AEC4609560C8BE39C6B95EA3137', 'location': 'UK'}",December 2012,80112,0,2012-12-19,147758332,False
