Hotel,Average_Rating
11th Avenue Hotel & Hostel,3.125
254 East Vacation,3.515625
3 West Club,4.428571428571429
4 East Madison Inn Boutique Hotel,3.3333333333333335
414 Hotel,4.252964426877471
6 Columbus - A Thompson Hotel,4.395638629283489
60 Thompson - A Thompson Hotel,4.236111111111111
7 Star Motel,1.0
70 park avenue hotel - a Kimpton Hotel,4.358757062146893
777 Motor Inn,2.6666666666666665
"A Hospitality Company, Inc.",3.6666666666666665
A Victory Inn & Suites,1.0
A Victory Inn & Suites Phoenix North,2.4444444444444446
A Victory Inn-East Dearborn,1.0
ACME Hotel Company Chicago,4.581920903954802
AKA Rittenhouse Square,4.689655172413793
AKA Sutton Place,4.291666666666667
AKA United Nations,4.238095238095238
AKA White House,4.413223140495868
AT&T Executive Education and Conference Center,4.801204819277109
Abbott Hotel,1.8888888888888888
Ace Hotel,4.3896103896103895
Ace Hotel NYC,4.515037593984962
Achieve Guest House,3.4444444444444446
Adams Mark Hotel,4.0
Adante Hotel,3.5390334572490705
Adlon Hotel,4.0
Admiral Bed and Breakfast,4.0
Admiral Fell Inn,4.218683651804671
Adolphus Hotel,4.536
Affinia 50,4.376888888888889
Affinia Dumont,4.554989816700611
Affinia Gardens,4.488977955911824
Affinia Manhattan,4.229035833025489
Affinia Shelburne,4.42489851150203
Aida Hotel,2.597826086956522
Airport Inn,1.68
Airport Inn And Suites,5.0
Airport Parkway Inn,1.9411764705882353
Airtel Plaza Hotel and Conference Center,4.139664804469274
Alamo Inn Motel,3.813953488372093
Alamo Lodge,1.125
Alberts Cabins,1.0
Alden-Houston,4.232
Aldrich Hotel,1.3333333333333333
Alexander Inn,4.524834437086093
Alexis Hotel - a Kimpton Hotel,4.76
Alexis Park San Francisco,3.604651162790698
"Algonquin Hotel Times Square, Autograph Collection",4.331811263318112
All Star Hotel,5.0
All Star Inn,5.0
Allerton,3.0
Allerton Hotel,4.049935979513444
Aloft Charlotte Ballantyne,4.6909090909090905
Aloft Charlotte Uptown at the EpiCentre,4.159203980099503
Aloft Dallas Downtown,4.526041666666667
Aloft Harlem,4.6028708133971294
Aloft Houston by the Galleria,4.088235294117647
Aloft Jacksonville Airport,3.6491228070175437
Aloft Jacksonville Tapestry Park,3.9740259740259742
Aloft Phoenix-Airport,4.456692913385827
Aloft San Antonio Airport,4.1652892561983474
Alpha Inn and Suites San Francisco,2.510204081632653
Always Inn,1.8
Amalfi Hotel Chicago,4.649643705463183
Ambassador Hotel,1.0
Ambassador Suites,1.894736842105263
Amber Inn,3.5128205128205128
AmeriGold Suites,2.8333333333333335
America's Best Inn & Suites Indianapolis / Airport Area,1.5
America's Best Inn Jacksonville,1.3333333333333333
America's Best Inn San Francisco,2.3846153846153846
America's Best Value Inn Mayor Hotel,3.2857142857142856
America's Inn,2.588235294117647
American Airlines Training and Conference Center,3.1794871794871793
American Inn,2.0
American Inn & Suites Lackland,1.6363636363636365
American Inn Memphis,1.6
American Inn West,1.0
American Motel,3.6
Americana Inn,3.985549132947977
Americas Best Value Classic Inn & Suites- Downtown,2.4
Americas Best Value Inn,3.0072463768115942
Americas Best Value Inn & Suites - Bush Int'l Airport Wes,1.9333333333333333
Americas Best Value Inn & Suites - Houston/Northwest,3.1875
Americas Best Value Inn & Suites - Memphis / Graceland,2.5
Americas Best Value Inn & Suites Charlotte,1.6
Americas Best Value Inn & Suites Granada Hills,4.0
Americas Best Value Inn & Suites Houston FM 1960/I-45,3.8181818181818183
Americas Best Value Inn & Suites Union Square,2.540983606557377
Americas Best Value Inn & Suites- Houston Airport North,3.0
Americas Best Value Inn & Suites-Charlotte,2.0
Americas Best Value Inn & Suites-Houston North,
Americas Best Value Inn & Suites-Houston/FM 249,5.0
Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,1.6666666666666667
Americas Best Value Inn & Suites-North Dallas,1.75
Americas Best Value Inn & Suites-SOMA,3.1666666666666665
Americas Best Value Inn - Columbus / North,1.6956521739130435
