Hotel,Average_Rating
11th Avenue Hotel & Hostel,3.9655172413793105
254 East Vacation,4.403846153846154
3 West Club,5.0
4 East Madison Inn Boutique Hotel,4.181818181818182
414 Hotel,4.681818181818182
6 Columbus - A Thompson Hotel,4.730897009966777
60 Thompson - A Thompson Hotel,4.623430962343096
7 Star Motel,
70 park avenue hotel - a Kimpton Hotel,4.569131832797428
777 Motor Inn,3.8333333333333335
"A Hospitality Company, Inc.",
A Victory Inn & Suites,1.0
A Victory Inn & Suites Phoenix North,3.225806451612903
A Victory Inn-East Dearborn,1.0
ACME Hotel Company Chicago,4.857142857142857
AKA Rittenhouse Square,4.808510638297872
AKA Sutton Place,4.55
AKA United Nations,4.7
AKA White House,4.75
AT&T Executive Education and Conference Center,4.496598639455782
Abbott Hotel,4.125
Ace Hotel,4.53125
Ace Hotel NYC,4.245322245322245
Achieve Guest House,3.0
Adams Mark Hotel,
Adante Hotel,3.916279069767442
Adlon Hotel,4.0
Admiral Bed and Breakfast,2.5
Admiral Fell Inn,4.699530516431925
Adolphus Hotel,4.558426966292135
Affinia 50,4.56341189674523
Affinia Dumont,4.59766081871345
Affinia Gardens,4.5873362445414845
Affinia Manhattan,4.67306052855925
Affinia Shelburne,4.471653543307086
Aida Hotel,3.2470588235294118
Airport Inn,3.4
Airport Inn And Suites,5.0
Airport Parkway Inn,2.4375
Airtel Plaza Hotel and Conference Center,3.662251655629139
Alamo Inn Motel,3.0
Alamo Lodge,1.75
Alberts Cabins,1.0
Alden-Houston,4.070422535211268
Aldrich Hotel,1.25
Alexander Inn,4.688336520076482
Alexis Hotel - a Kimpton Hotel,4.796133567662566
Alexis Park San Francisco,2.8823529411764706
"Algonquin Hotel Times Square, Autograph Collection",4.701298701298701
All Star Hotel,3.5
All Star Inn,
Allerton,5.0
Allerton Hotel,4.771470160116448
Aloft Charlotte Ballantyne,4.48
Aloft Charlotte Uptown at the EpiCentre,4.5
Aloft Dallas Downtown,4.268156424581005
Aloft Harlem,4.103626943005182
Aloft Houston by the Galleria,4.264705882352941
Aloft Jacksonville Airport,4.412371134020619
Aloft Jacksonville Tapestry Park,4.292307692307692
Aloft Phoenix-Airport,4.26890756302521
Aloft San Antonio Airport,4.053097345132743
Alpha Inn and Suites San Francisco,3.3157894736842106
Always Inn,2.5
Amalfi Hotel Chicago,4.690140845070423
Ambassador Hotel,1.0
Ambassador Suites,2.7058823529411766
Amber Inn,3.088235294117647
AmeriGold Suites,3.75
America's Best Inn & Suites Indianapolis / Airport Area,2.6
America's Best Inn Jacksonville,3.6
America's Best Inn San Francisco,3.9166666666666665
America's Best Value Inn Mayor Hotel,2.8636363636363638
America's Inn,2.769230769230769
American Airlines Training and Conference Center,3.027027027027027
American Inn,2.25
American Inn & Suites Lackland,2.55
American Inn Memphis,2.75
American Inn West,1.0
American Motel,2.75
Americana Inn,4.682730923694779
Americas Best Value Classic Inn & Suites- Downtown,4.0
Americas Best Value Inn,3.0756302521008405
Americas Best Value Inn & Suites - Bush Int'l Airport Wes,2.5
Americas Best Value Inn & Suites - Houston/Northwest,4.0
Americas Best Value Inn & Suites - Memphis / Graceland,2.8
Americas Best Value Inn & Suites Charlotte,2.6666666666666665
Americas Best Value Inn & Suites Granada Hills,4.0
Americas Best Value Inn & Suites Houston FM 1960/I-45,4.181818181818182
Americas Best Value Inn & Suites Union Square,3.0
Americas Best Value Inn & Suites- Houston Airport North,3.0
Americas Best Value Inn & Suites-Charlotte,3.0
Americas Best Value Inn & Suites-Houston North,
Americas Best Value Inn & Suites-Houston/FM 249,5.0
Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,1.3333333333333333
Americas Best Value Inn & Suites-North Dallas,2.0
Americas Best Value Inn & Suites-SOMA,3.22
Americas Best Value Inn - Columbus / North,2.7058823529411766
Americas Best Value Inn - Downtown Phoenix,4.161538461538462
Americas Best Value Inn - El Paso / Medical Center,3.4285714285714284
Americas Best Value Inn - Hollywood / Los Angeles,3.42
Americas Best Value Inn - Indy Northwest,2.8
Americas Best Value Inn - Los Angeles / Hollywood,3.46875
Americas Best Value Inn - Medical Center,4.0
Americas Best Value Inn - Medical Center North,3.4285714285714284
Americas Best Value Inn - San Antonio / Lackland AFB,3.2857142857142856
Americas Best Value Inn - San Diego Downtown,3.736842105263158
Americas Best Value Inn Columbus Airport,3.586206896551724
Americas Best Value Inn Forth Worth,3.7
Americas Best Value Inn Golden Gate,3.770642201834862
Americas Best Value Inn Indianapolis / Speedway,2.4
Americas Best Value Inn Loma Lodge,4.22
Americas Best Value Inn Memphis,3.1538461538461537
Americas Best Value Inn Phoenix/I-10 West,3.4285714285714284
"Americas Best Value Inn, San Francisco",2.7058823529411766
Americas Best Value Inn-AT&T Center,2.25
Americas Best Value Inn-Columbus/West,4.4
Americas Best Value Inn-Indy East,2.5454545454545454
Americas Best Value Inn-Indy South,4.25
Americas Best Value Inn-Texas Medical Center/Reliant Park,4.423076923076923
Americas Best Value Inn/Memphis Airport,3.4285714285714284
Americas Best Value Padre Trail Inn,4.4714285714285715
Ameritania Hotel,4.803088803088803
Ames - A Morgans Original,4.759036144578313
Amsterdam Court Hotel,4.6648148148148145
Anchor Motel,3.5
Anchorage Point,4.2
Andaz 5th Avenue,4.858333333333333
Andaz San Diego,4.634615384615385
Andaz Wall Street,4.378654970760234
Andrews Hotel,4.457142857142857
Ansonia Abby Hotel,2.6666666666666665
Apartment Hotel 51,4.7
Apollo,1.0
Archstone South Market,4.2
Arena Hotel,4.018348623853211
Argonaut Hotel - a Kimpton Hotel,4.747645951035781
Arizona Biltmore,4.341621621621622
Arizona Grand Resort & Spa,4.1645919778699865
Arizona Royal Villa Resort,4.173913043478261
Arlington Suites,3.5833333333333335
Artisan Hotel El Paso,2.25
Artisan Hotel Memphis,2.6507936507936507
Astor on the Park,3.5660377358490565
Astoria Hotel,4.521739130434782
Astro Inn,1.0
Athens Hotel Suites,4.490566037735849
Austin Marriott South,3.793103448275862
Austin Motel,4.735849056603773
Austin Motor Inn,5.0
Austin Suites Hotel,4.6
Austin Village Motor Inn,4.5
Avalon Hotel,4.589403973509934
Avenue Suites Georgetown,4.797101449275362
Azul Inn,4.0588235294117645
BEST WESTERN - San Jose Airport Plaza,4.117647058823529
BEST WESTERN Airport Executel,4.016759776536313
BEST WESTERN Airport Inn,4.170212765957447
BEST WESTERN Airport Suites,3.6
BEST WESTERN Alamo Suites,3.1818181818181817
BEST WESTERN Americana Inn,3.8181818181818183
BEST WESTERN Atrium North,3.65
BEST WESTERN Baltimore West,3.566666666666667
BEST WESTERN Bowery Hanbee Hotel,4.293689320388349
BEST WESTERN Burbank Airport Inn,2.980392156862745
BEST WESTERN Canoga Park Motor Inn,4.238095238095238
BEST WESTERN Center City Hotel,3.8
BEST WESTERN Cityplace Inn,3.875
BEST WESTERN Convention Center Hotel,3.24
BEST WESTERN Country Suites,4.055555555555555
BEST WESTERN Crossroads,4.0
BEST WESTERN Executive Inn,3.473684210526316
BEST WESTERN Fort Worth Inn & Suites,4.550420168067227
BEST WESTERN Fountainview Inn & Suites Near Galleria,3.8181818181818183
BEST WESTERN Galleria Inn and Suites,4.339285714285714
BEST WESTERN Garden Inn,3.6470588235294117
BEST WESTERN Georgetown Hotel & Suites,4.344594594594595
