Hotel,Average_Rating
11th Avenue Hotel & Hostel,2.8
254 East Vacation,3.533333333333333
3 West Club,4.1875
4 East Madison Inn Boutique Hotel,3.1538461538461537
414 Hotel,4.161490683229814
6 Columbus - A Thompson Hotel,3.9481268011527377
60 Thompson - A Thompson Hotel,3.770348837209302
7 Star Motel,2.0
70 park avenue hotel - a Kimpton Hotel,4.098780487804878
777 Motor Inn,3.0
"A Hospitality Company, Inc.",3.25
A Victory Inn & Suites,1.0
A Victory Inn & Suites Phoenix North,2.148936170212766
A Victory Inn-East Dearborn,1.0
ACME Hotel Company Chicago,4.4324324324324325
AKA Rittenhouse Square,4.557377049180328
AKA Sutton Place,4.576923076923077
AKA United Nations,4.166666666666667
AKA White House,4.315384615384615
AT&T Executive Education and Conference Center,4.361581920903955
Abbott Hotel,1.5833333333333333
Ace Hotel,3.967391304347826
Ace Hotel NYC,4.18374558303887
Achieve Guest House,2.9
Adams Mark Hotel,5.0
Adante Hotel,3.1385869565217392
Adlon Hotel,5.0
Admiral Bed and Breakfast,3.3333333333333335
Admiral Fell Inn,4.18860510805501
Adolphus Hotel,4.39760147601476
Affinia 50,4.322033898305085
Affinia Dumont,4.489986648865154
Affinia Gardens,4.4258289703315885
Affinia Manhattan,4.129022082018928
Affinia Shelburne,4.257110987172337
Aida Hotel,2.505050505050505
Airport Inn,1.7027027027027026
Airport Inn And Suites,5.0
Airport Parkway Inn,2.0
Airtel Plaza Hotel and Conference Center,3.895734597156398
Alamo Inn Motel,3.56
Alamo Lodge,1.0
Alberts Cabins,2.0
Alden-Houston,3.972027972027972
Aldrich Hotel,1.7142857142857142
Alexander Inn,4.363095238095238
Alexis Hotel - a Kimpton Hotel,4.567954220314736
Alexis Park San Francisco,3.2903225806451615
"Algonquin Hotel Times Square, Autograph Collection",3.9427083333333335
All Star Hotel,4.0
All Star Inn,3.0
Allerton,2.1538461538461537
Allerton Hotel,3.5841371918542335
Aloft Charlotte Ballantyne,4.444444444444445
Aloft Charlotte Uptown at the EpiCentre,3.4790697674418603
Aloft Dallas Downtown,3.975845410628019
Aloft Harlem,4.370212765957447
Aloft Houston by the Galleria,3.375
Aloft Jacksonville Airport,3.6166666666666667
Aloft Jacksonville Tapestry Park,3.451219512195122
Aloft Phoenix-Airport,4.075187969924812
Aloft San Antonio Airport,3.787878787878788
Alpha Inn and Suites San Francisco,2.4838709677419355
Always Inn,1.5714285714285714
Amalfi Hotel Chicago,4.491701244813278
Ambassador Hotel,1.0
Ambassador Suites,1.7037037037037037
Amber Inn,3.3333333333333335
AmeriGold Suites,3.1666666666666665
America's Best Inn & Suites Indianapolis / Airport Area,1.5
America's Best Inn Jacksonville,2.375
America's Best Inn San Francisco,2.3835616438356166
America's Best Value Inn Mayor Hotel,2.576923076923077
America's Inn,2.75
American Airlines Training and Conference Center,2.8863636363636362
American Inn,1.8181818181818181
American Inn & Suites Lackland,1.6538461538461537
American Inn Memphis,1.5
American Inn West,1.0
American Motel,3.5
Americana Inn,3.6688741721854305
Americas Best Value Classic Inn & Suites- Downtown,2.5714285714285716
Americas Best Value Inn,2.84375
Americas Best Value Inn & Suites - Bush Int'l Airport Wes,2.0
Americas Best Value Inn & Suites - Houston/Northwest,3.0526315789473686
Americas Best Value Inn & Suites - Memphis / Graceland,2.0
Americas Best Value Inn & Suites Charlotte,1.5
Americas Best Value Inn & Suites Granada Hills,3.6666666666666665
Americas Best Value Inn & Suites Houston FM 1960/I-45,3.8181818181818183
Americas Best Value Inn & Suites Union Square,2.5357142857142856
Americas Best Value Inn & Suites- Houston Airport North,1.0
Americas Best Value Inn & Suites-Charlotte,1.5714285714285714
Americas Best Value Inn & Suites-Houston North,5.0
Americas Best Value Inn & Suites-Houston/FM 249,5.0
Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,2.2
Americas Best Value Inn & Suites-North Dallas,2.2
Americas Best Value Inn & Suites-SOMA,3.106060606060606
Americas Best Value Inn - Columbus / North,1.7916666666666667
Americas Best Value Inn - Downtown Phoenix,4.281588447653429
Americas Best Value Inn - El Paso / Medical Center,4.0
Americas Best Value Inn - Hollywood / Los Angeles,3.0
Americas Best Value Inn - Indy Northwest,1.0
Americas Best Value Inn - Los Angeles / Hollywood,3.292682926829268
Americas Best Value Inn - Medical Center,3.857142857142857
Americas Best Value Inn - Medical Center North,3.5714285714285716
