name,Positive_Reviews,Negative_Reviews
11th Avenue Hotel & Hostel,26.0,7.0
254 East Vacation,63.0,18.0
3 West Club,28.0,2.0
4 East Madison Inn Boutique Hotel,9.0,4.0
414 Hotel,274.0,33.0
6 Columbus - A Thompson Hotel,310.0,28.0
60 Thompson - A Thompson Hotel,305.0,31.0
7 Star Motel,1.0,0.0
70 park avenue hotel - a Kimpton Hotel,750.0,41.0
777 Motor Inn,5.0,1.0
"A Hospitality Company, Inc.",4.0,0.0
A Victory Inn & Suites Phoenix North,29.0,16.0
ACME Hotel Company Chicago,168.0,13.0
AKA Rittenhouse Square,54.0,6.0
AKA Sutton Place,22.0,4.0
AKA United Nations,21.0,2.0
AKA White House,114.0,13.0
AT&T Executive Education and Conference Center,166.0,7.0
Abbott Hotel,11.0,1.0
Ace Hotel,166.0,11.0
Ace Hotel NYC,491.0,52.0
Achieve Guest House,9.0,1.0
Adams Mark Hotel,1.0,0.0
Adante Hotel,212.0,92.0
Adlon Hotel,1.0,0.0
Admiral Bed and Breakfast,2.0,1.0
Admiral Fell Inn,479.0,22.0
Adolphus Hotel,1004.0,48.0
Affinia 50,1156.0,86.0
Affinia Dumont,2054.0,118.0
Affinia Gardens,518.0,29.0
Affinia Manhattan,2723.0,278.0
Affinia Shelburne,1544.0,142.0
Aida Hotel,61.0,30.0
Airport Inn,22.0,14.0
Airport Inn And Suites,1.0,0.0
Airport Parkway Inn,10.0,8.0
Airtel Plaza Hotel and Conference Center,184.0,17.0
Alamo Inn Motel,40.0,9.0
Alamo Lodge,2.0,7.0
Alberts Cabins,1.0,1.0
Alden-Houston,259.0,23.0
Aldrich Hotel,3.0,3.0
Alexander Inn,623.0,38.0
Alexis Hotel - a Kimpton Hotel,674.0,17.0
Alexis Park San Francisco,41.0,13.0
"Algonquin Hotel Times Square, Autograph Collection",688.0,55.0
All Star Hotel,1.0,1.0
All Star Inn,1.0,0.0
Allerton,9.0,3.0
Allerton Hotel,782.0,102.0
Aloft Charlotte Ballantyne,109.0,7.0
Aloft Charlotte Uptown at the EpiCentre,189.0,19.0
Aloft Dallas Downtown,190.0,13.0
Aloft Harlem,209.0,14.0
Aloft Houston by the Galleria,38.0,1.0
Aloft Jacksonville Airport,115.0,3.0
Aloft Jacksonville Tapestry Park,76.0,5.0
Aloft Phoenix-Airport,124.0,5.0
Aloft San Antonio Airport,123.0,7.0
Alpha Inn and Suites San Francisco,36.0,21.0
Always Inn,4.0,2.0
