Hotel,Average_Rating
11th Avenue Hotel & Hostel,2.7333333333333334
254 East Vacation,3.3389830508474576
3 West Club,3.923076923076923
4 East Madison Inn Boutique Hotel,3.4166666666666665
414 Hotel,4.064
6 Columbus - A Thompson Hotel,3.83
60 Thompson - A Thompson Hotel,3.700361010830325
7 Star Motel,
70 park avenue hotel - a Kimpton Hotel,3.9588414634146343
777 Motor Inn,2.5
"A Hospitality Company, Inc.",3.3333333333333335
A Victory Inn & Suites,
A Victory Inn & Suites Phoenix North,2.4411764705882355
A Victory Inn-East Dearborn,1.0
ACME Hotel Company Chicago,4.254237288135593
AKA Rittenhouse Square,4.586956521739131
AKA Sutton Place,4.65
AKA United Nations,4.476190476190476
AKA White House,4.651785714285714
AT&T Executive Education and Conference Center,4.301369863013699
Abbott Hotel,1.6666666666666667
Ace Hotel,3.95
Ace Hotel NYC,4.118997912317328
Achieve Guest House,3.3333333333333335
Adams Mark Hotel,
Adante Hotel,2.9655172413793105
Adlon Hotel,5.0
Admiral Bed and Breakfast,4.0
Admiral Fell Inn,4.1013824884792625
Adolphus Hotel,4.421286031042128
Affinia 50,4.316231343283582
Affinia Dumont,4.540713145290048
Affinia Gardens,4.483050847457627
Affinia Manhattan,4.017947717518533
Affinia Shelburne,4.308189655172414
Aida Hotel,2.311111111111111
Airport Inn,1.5416666666666667
Airport Inn And Suites,5.0
Airport Parkway Inn,2.0
Airtel Plaza Hotel and Conference Center,3.85625
Alamo Inn Motel,3.358974358974359
Alamo Lodge,1.0
Alberts Cabins,1.0
Alden-Houston,4.049107142857143
Aldrich Hotel,2.0
Alexander Inn,4.042857142857143
Alexis Hotel - a Kimpton Hotel,4.6514382402707275
Alexis Park San Francisco,3.4210526315789473
"Algonquin Hotel Times Square, Autograph Collection",3.6732673267326734
All Star Hotel,4.5
All Star Inn,
Allerton,2.6666666666666665
Allerton Hotel,3.371742112482853
Aloft Charlotte Ballantyne,4.31
Aloft Charlotte Uptown at the EpiCentre,3.650273224043716
Aloft Dallas Downtown,4.150837988826815
Aloft Harlem,4.355670103092783
Aloft Houston by the Galleria,3.6470588235294117
Aloft Jacksonville Airport,3.8762886597938144
Aloft Jacksonville Tapestry Park,3.873015873015873
Aloft Phoenix-Airport,4.084033613445378
Aloft San Antonio Airport,3.84070796460177
Alpha Inn and Suites San Francisco,2.590909090909091
Always Inn,1.8
Amalfi Hotel Chicago,4.4163473818646235
Ambassador Hotel,1.0
Ambassador Suites,1.6666666666666667
Amber Inn,3.2941176470588234
AmeriGold Suites,3.5
America's Best Inn & Suites Indianapolis / Airport Area,1.4285714285714286
America's Best Inn Jacksonville,1.4
America's Best Inn San Francisco,2.206896551724138
America's Best Value Inn Mayor Hotel,2.3333333333333335
America's Inn,2.4
American Airlines Training and Conference Center,2.138888888888889
American Inn,1.625
American Inn & Suites Lackland,1.5
American Inn Memphis,2.0
American Inn West,1.0
American Motel,3.4
Americana Inn,3.2653061224489797
Americas Best Value Classic Inn & Suites- Downtown,2.4
Americas Best Value Inn,2.883720930232558
Americas Best Value Inn & Suites - Bush Int'l Airport Wes,2.0
Americas Best Value Inn & Suites - Houston/Northwest,2.9375
Americas Best Value Inn & Suites - Memphis / Graceland,2.8333333333333335
Americas Best Value Inn & Suites Charlotte,1.6428571428571428
Americas Best Value Inn & Suites Granada Hills,3.5833333333333335
Americas Best Value Inn & Suites Houston FM 1960/I-45,3.909090909090909
Americas Best Value Inn & Suites Union Square,2.6315789473684212
Americas Best Value Inn & Suites- Houston Airport North,2.0
Americas Best Value Inn & Suites-Charlotte,1.8333333333333333
Americas Best Value Inn & Suites-Houston North,
Americas Best Value Inn & Suites-Houston/FM 249,5.0
Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,1.6
Americas Best Value Inn & Suites-North Dallas,1.75
Americas Best Value Inn & Suites-SOMA,3.04
Americas Best Value Inn - Columbus / North,1.8421052631578947
Americas Best Value Inn - Downtown Phoenix,4.264367816091954
Americas Best Value Inn - El Paso / Medical Center,3.7142857142857144
Americas Best Value Inn - Hollywood / Los Angeles,2.9655172413793105
Americas Best Value Inn - Indy Northwest,1.2
Americas Best Value Inn - Los Angeles / Hollywood,3.1714285714285713
Americas Best Value Inn - Medical Center,4.0
Americas Best Value Inn - Medical Center North,3.5714285714285716
Americas Best Value Inn - San Antonio / Lackland AFB,2.375
Americas Best Value Inn - San Diego Downtown,3.3333333333333335
Americas Best Value Inn Columbus Airport,2.1379310344827585
Americas Best Value Inn Forth Worth,4.090909090909091
Americas Best Value Inn Golden Gate,2.891891891891892
Americas Best Value Inn Indianapolis / Speedway,1.8333333333333333
Americas Best Value Inn Loma Lodge,3.5660377358490565
Americas Best Value Inn Memphis,2.4285714285714284
Americas Best Value Inn Phoenix/I-10 West,2.4444444444444446
"Americas Best Value Inn, San Francisco",1.7058823529411764
Americas Best Value Inn-AT&T Center,2.25
Americas Best Value Inn-Columbus/West,2.5
Americas Best Value Inn-Indy East,2.0
Americas Best Value Inn-Indy South,3.75
Americas Best Value Inn-Texas Medical Center/Reliant Park,3.4444444444444446
Americas Best Value Inn/Memphis Airport,2.75
Americas Best Value Padre Trail Inn,3.4583333333333335
Ameritania Hotel,4.03921568627451
Ames - A Morgans Original,4.506024096385542
Amsterdam Court Hotel,2.853435114503817
Anchor Motel,2.5
Anchorage Point,4.4
Andaz 5th Avenue,4.648148148148148
Andaz San Diego,4.228476821192053
Andaz Wall Street,4.718887262079063
Andrews Hotel,3.370967741935484
Ansonia Abby Hotel,2.4285714285714284
Apartment Hotel 51,3.2
Apollo,3.25
Archstone South Market,4.4
Arena Hotel,3.4959349593495936
Argonaut Hotel - a Kimpton Hotel,4.474631751227496
Arizona Biltmore,3.996822033898305
Arizona Grand Resort & Spa,4.048209366391185
Arizona Royal Villa Resort,4.040816326530612
Arlington Suites,2.6666666666666665
Artisan Hotel El Paso,1.625
Artisan Hotel Memphis,1.7878787878787878
Astor on the Park,3.0709876543209877
Astoria Hotel,2.5823529411764707
Astro Inn,1.0
Athens Hotel Suites,3.7169811320754715
Austin Marriott South,3.966292134831461
Austin Motel,3.3944954128440368
Austin Motor Inn,5.0
Austin Suites Hotel,3.6
Austin Village Motor Inn,4.0
Avalon Hotel,4.132450331125828
Avenue Suites Georgetown,4.492753623188406
Azul Inn,3.128205128205128
BEST WESTERN - San Jose Airport Plaza,3.8
BEST WESTERN Airport Executel,3.8140161725067387
BEST WESTERN Airport Inn,3.556701030927835
BEST WESTERN Airport Suites,3.4705882352941178
BEST WESTERN Alamo Suites,3.761904761904762
BEST WESTERN Americana Inn,3.4545454545454546
BEST WESTERN Atrium North,3.55
BEST WESTERN Baltimore West,2.903225806451613
BEST WESTERN Bowery Hanbee Hotel,4.351089588377724
BEST WESTERN Burbank Airport Inn,4.3
BEST WESTERN Canoga Park Motor Inn,4.041666666666667
BEST WESTERN Center City Hotel,2.5
BEST WESTERN Cityplace Inn,3.357142857142857
BEST WESTERN Convention Center Hotel,3.2885375494071147
BEST WESTERN Country Suites,3.8333333333333335
BEST WESTERN Crossroads,3.9473684210526314
BEST WESTERN Executive Inn,3.7241379310344827
BEST WESTERN Fort Worth Inn & Suites,4.586497890295359
BEST WESTERN Fountainview Inn & Suites Near Galleria,3.5454545454545454
BEST WESTERN Galleria Inn and Suites,3.9482758620689653
BEST WESTERN Garden Inn,4.0
BEST WESTERN Georgetown Hotel & Suites,3.6770186335403725
BEST WESTERN Golden Triangle Inn,3.3214285714285716
BEST WESTERN Grant Park Hotel,3.112781954887218
BEST WESTERN Heritage Inn,3.4761904761904763
BEST WESTERN Hollywood Plaza Inn,3.4433497536945814
BEST WESTERN Hotel JTB / Southpoint,3.9194630872483223
BEST WESTERN Indianapolis South,4.08
BEST WESTERN Ingram Park Inn,3.6923076923076925
BEST WESTERN Inn Fort Worth,3.1875
BEST WESTERN Jacksonville Airport,3.7209302325581395
BEST WESTERN Lamplighter Inn & Suites at SDSU,4.231543624161074
BEST WESTERN Los Angeles Worldport Hotel,2.9
BEST WESTERN Loyal Inn,3.679558011049724
BEST WESTERN Market Center,3.276315789473684
BEST WESTERN Mission Bay Inn,3.1649484536082473
BEST WESTERN Northwest Inn & Suites,4.3
BEST WESTERN PLUS Americania,3.430051813471503
BEST WESTERN PLUS Atrea Hotel & Suites,4.645161290322581
BEST WESTERN PLUS Austin Airport Inn & Suites,4.555555555555555
BEST WESTERN PLUS Austin City Hotel,3.0208333333333335
BEST WESTERN PLUS Bayside Inn,3.952191235059761
BEST WESTERN PLUS Blue Sea Lodge,4.002770083102493
BEST WESTERN PLUS Carlyle Inn,3.970873786407767
BEST WESTERN PLUS Carriage Inn,3.785234899328859
BEST WESTERN PLUS Cecil Field Inn & Suites,4.153846153846154
BEST WESTERN PLUS Charlotte/Matthews,3.3225806451612905
BEST WESTERN PLUS Columbus North,2.8762886597938144
BEST WESTERN PLUS Dallas Hotel & Conference Center,3.712707182320442
BEST WESTERN PLUS Denver Hotel,3.6036036036036037
BEST WESTERN PLUS Downtown Inn & Suites Houston,4.564516129032258
BEST WESTERN PLUS Dragon Gate Inn,3.1931818181818183
BEST WESTERN PLUS Eagle Rock Inn,3.586206896551724
BEST WESTERN PLUS Executive Inn,3.767123287671233
BEST WESTERN PLUS Fiesta Inn,3.972972972972973
