Hotel,Average_Rating
11th Avenue Hotel & Hostel,3.515151515151515
254 East Vacation,3.2037037037037037
3 West Club,4.448275862068965
4 East Madison Inn Boutique Hotel,3.6923076923076925
414 Hotel,4.134920634920635
6 Columbus - A Thompson Hotel,4.208074534161491
60 Thompson - A Thompson Hotel,3.8321917808219177
7 Star Motel,2.0
70 park avenue hotel - a Kimpton Hotel,4.303418803418803
777 Motor Inn,3.2
"A Hospitality Company, Inc.",5.0
A Victory Inn & Suites,1.0
A Victory Inn & Suites Phoenix North,2.5526315789473686
A Victory Inn-East Dearborn,2.0
ACME Hotel Company Chicago,4.3559322033898304
AKA Rittenhouse Square,4.620689655172414
AKA Sutton Place,4.5
AKA United Nations,4.5
AKA White House,4.067226890756302
AT&T Executive Education and Conference Center,4.469512195121951
Abbott Hotel,2.0
Ace Hotel,4.254901960784314
Ace Hotel NYC,4.174484052532833
Achieve Guest House,3.0
Adams Mark Hotel,4.0
Adante Hotel,3.1622641509433964
Adlon Hotel,4.0
Admiral Bed and Breakfast,4.0
Admiral Fell Inn,4.377398720682303
Adolphus Hotel,4.501984126984127
Affinia 50,4.367764915405164
Affinia Dumont,4.4977099236641225
Affinia Gardens,4.455465587044534
Affinia Manhattan,4.260147601476015
Affinia Shelburne,4.234976367319379
Aida Hotel,2.8131868131868134
Airport Inn,2.0
Airport Inn And Suites,5.0
Airport Parkway Inn,2.4375
Airtel Plaza Hotel and Conference Center,4.139664804469274
Alamo Inn Motel,4.219512195121951
Alamo Lodge,1.2857142857142858
Alberts Cabins,1.0
Alden-Houston,4.0
Aldrich Hotel,1.6666666666666667
Alexander Inn,4.556478405315614
Alexis Hotel - a Kimpton Hotel,4.657187993680885
Alexis Park San Francisco,3.116279069767442
"Algonquin Hotel Times Square, Autograph Collection",4.101515151515152
All Star Hotel,4.0
All Star Inn,5.0
Allerton,2.6666666666666665
Allerton Hotel,3.7087628865979383
Aloft Charlotte Ballantyne,4.558558558558558
Aloft Charlotte Uptown at the EpiCentre,3.6633663366336635
Aloft Dallas Downtown,4.087628865979381
Aloft Harlem,4.602803738317757
Aloft Houston by the Galleria,3.4411764705882355
Aloft Jacksonville Airport,3.8053097345132745
Aloft Jacksonville Tapestry Park,3.6493506493506493
Aloft Phoenix-Airport,4.131782945736434
Aloft San Antonio Airport,3.877049180327869
Alpha Inn and Suites San Francisco,2.5384615384615383
Always Inn,2.0
Amalfi Hotel Chicago,4.5058823529411764
Ambassador Hotel,1.5
Ambassador Suites,2.1578947368421053
Amber Inn,3.65
AmeriGold Suites,3.3333333333333335
America's Best Inn & Suites Indianapolis / Airport Area,1.8571428571428572
America's Best Inn Jacksonville,2.8333333333333335
America's Best Inn San Francisco,2.5
America's Best Value Inn Mayor Hotel,3.163265306122449
America's Inn,2.8125
American Airlines Training and Conference Center,4.05
American Inn,2.0
American Inn & Suites Lackland,1.6363636363636365
American Inn Memphis,2.0
American Inn West,1.0
American Motel,3.8
Americana Inn,3.6666666666666665
Americas Best Value Classic Inn & Suites- Downtown,2.6
Americas Best Value Inn,2.9785714285714286
Americas Best Value Inn & Suites - Bush Int'l Airport Wes,2.3333333333333335
Americas Best Value Inn & Suites - Houston/Northwest,3.25
Americas Best Value Inn & Suites - Memphis / Graceland,2.5
Americas Best Value Inn & Suites Charlotte,1.6875
Americas Best Value Inn & Suites Granada Hills,3.6923076923076925
