Hotel,Average_Rating
11th Avenue Hotel & Hostel,3.3636363636363638
254 East Vacation,3.793103448275862
3 West Club,4.551724137931035
4 East Madison Inn Boutique Hotel,3.0
414 Hotel,4.26530612244898
6 Columbus - A Thompson Hotel,3.9059561128526648
60 Thompson - A Thompson Hotel,3.3531468531468533
7 Star Motel,2.0
70 park avenue hotel - a Kimpton Hotel,3.9714285714285715
777 Motor Inn,2.5
"A Hospitality Company, Inc.",4.0
A Victory Inn & Suites,1.0
A Victory Inn & Suites Phoenix North,2.3513513513513513
A Victory Inn-East Dearborn,1.0
ACME Hotel Company Chicago,4.405714285714286
AKA Rittenhouse Square,4.175438596491228
AKA Sutton Place,4.458333333333333
AKA United Nations,4.1
AKA White House,4.241666666666666
AT&T Executive Education and Conference Center,3.9877300613496933
Abbott Hotel,1.8
Ace Hotel,4.126666666666667
Ace Hotel NYC,3.8436911487758945
Achieve Guest House,3.2222222222222223
Adams Mark Hotel,4.0
Adante Hotel,3.4919354838709675
Adlon Hotel,5.0
Admiral Bed and Breakfast,3.0
Admiral Fell Inn,4.04862579281184
Adolphus Hotel,4.386839481555334
Affinia 50,4.215970961887478
Affinia Dumont,4.360369609856263
Affinia Gardens,4.247967479674797
Affinia Manhattan,4.045607476635514
Affinia Shelburne,4.186030428769018
Aida Hotel,2.989247311827957
Airport Inn,1.9130434782608696
Airport Inn And Suites,5.0
Airport Parkway Inn,2.5
Airtel Plaza Hotel and Conference Center,4.033898305084746
Alamo Inn Motel,3.627906976744186
Alamo Lodge,1.2222222222222223
Alberts Cabins,1.0
Alden-Houston,3.964980544747082
Aldrich Hotel,1.8571428571428572
Alexander Inn,4.51980198019802
Alexis Hotel - a Kimpton Hotel,4.3858267716535435
Alexis Park San Francisco,3.380952380952381
"Algonquin Hotel Times Square, Autograph Collection",3.7162576687116564
All Star Hotel,4.0
All Star Inn,4.0
Allerton,3.0
Allerton Hotel,3.6309677419354838
Aloft Charlotte Ballantyne,4.410714285714286
Aloft Charlotte Uptown at the EpiCentre,3.4405940594059405
Aloft Dallas Downtown,4.0473684210526315
Aloft Harlem,4.345794392523365
Aloft Houston by the Galleria,3.323529411764706
Aloft Jacksonville Airport,3.9298245614035086
Aloft Jacksonville Tapestry Park,3.9220779220779223
Aloft Phoenix-Airport,4.178294573643411
Aloft San Antonio Airport,3.80327868852459
Alpha Inn and Suites San Francisco,2.8541666666666665
Always Inn,1.8
Amalfi Hotel Chicago,4.398816568047337
Ambassador Hotel,1.5
Ambassador Suites,2.0
Amber Inn,3.875
AmeriGold Suites,3.5
America's Best Inn & Suites Indianapolis / Airport Area,1.75
America's Best Inn Jacksonville,2.6666666666666665
America's Best Inn San Francisco,2.5689655172413794
America's Best Value Inn Mayor Hotel,2.816326530612245
America's Inn,2.8823529411764706
American Airlines Training and Conference Center,3.2
American Inn,2.3333333333333335
American Inn & Suites Lackland,1.6521739130434783
American Inn Memphis,2.8
American Inn West,1.0
American Motel,3.8
Americana Inn,4.04953560371517
Americas Best Value Classic Inn & Suites- Downtown,2.8
Americas Best Value Inn,3.2928571428571427
Americas Best Value Inn & Suites - Bush Int'l Airport Wes,2.142857142857143
Americas Best Value Inn & Suites - Houston/Northwest,3.4375
Americas Best Value Inn & Suites - Memphis / Graceland,2.5
Americas Best Value Inn & Suites Charlotte,1.875
Americas Best Value Inn & Suites Granada Hills,3.769230769230769
Americas Best Value Inn & Suites Houston FM 1960/I-45,4.0
Americas Best Value Inn & Suites Union Square,2.9838709677419355
Americas Best Value Inn & Suites- Houston Airport North,2.0
